"RS_GCF_000620685.1"
"RS_GCF_000767795.1"
"RS_GCF_000423185.1"
"RS_GCF_000333275.1"
"GB_GCA_000730165.1"
"RS_GCF_000016185.1"
"RS_GCF_001939945.1"
"RS_GCF_001296005.1"
"RS_GCF_000429645.1"
"RS_GCF_000576635.1"
"RS_GCF_000936425.1"
"RS_GCF_000429625.1"
"RS_GCF_001315015.1"
"RS_GCF_001305595.1"
"RS_GCF_000283655.1"
"RS_GCF_000010725.1"
"RS_GCF_000333595.1"
"GB_GCA_002336285.1"
"UBA8982"
"GB_GCA_001767915.1"
"UBA8720"
"GB_GCA_002425415.1"
"GB_GCA_002421905.1"
"GB_GCA_002354205.1"
"GB_GCA_002321835.1"
"GB_GCA_002338525.1"
"GB_GCA_002413445.1"
"GB_GCA_002328415.1"
"UBA10425"
"GB_GCA_002483465.1"
"GB_GCA_002420015.1"
"GB_GCA_002359735.1"
"GB_GCA_002320665.1"
"GB_GCA_002448815.1"
"GB_GCA_002448575.1"
"GB_GCA_002482805.1"
"GB_GCA_002423285.1"
"RS_GCF_000226315.1"
"UBA9664"
"GB_GCA_002358745.1"
"GB_GCA_002423185.1"
"GB_GCA_002423205.1"
"GB_GCA_002320485.1"
"UBA11073"
"GB_GCA_001768735.1"
"GB_GCA_002343265.1"
"UBA9219"
"UBA8914"
"RS_GCF_000518365.1"
"RS_GCF_000963705.1"
"RS_GCF_000299935.1"
"RS_GCF_001618175.1"
"GB_GCA_002469795.1"
"RS_GCF_000426505.1"
"GB_GCA_002471325.1"
"RS_GCF_000171835.1"
"RS_GCF_000423805.1"
"RS_GCF_000510265.1"
"RS_GCF_000319385.1"
