"UBA11136"
"GB_GCA_002295635.1"
"GB_GCA_002296855.1"
"GB_GCA_002348425.1"
"GB_GCA_002306905.1"
"GB_GCA_002433205.1"
"UBA8079"
"GB_GCA_002414925.1"
"GB_GCA_002434595.1"
"UBA9261"
"UBA8366"
