UBA8088
GB_GCA_002469765.1
UBA12558
GB_GCA_002313415.1
GB_GCA_002450235.1
GB_GCA_002448555.1
GB_GCA_002323545.1
GB_GCA_002390645.1
UBA8752
GB_GCA_002336475.1
