"RS_GCF_000263195.1"
"RS_GCF_001306455.1"
"GB_GCA_002483125.1"
"RS_GCF_000166395.1"
"RS_GCF_000331105.1"
"RS_GCF_000296815.2"
"RS_GCF_000374025.1"
"RS_GCF_000374085.1"
"RS_GCF_000374065.1"
"GB_GCA_900112365.1"
"RS_GCF_000974425.1"
"GB_GCA_000024525.1"
"RS_GCF_000383955.1"
"RS_GCF_001870735.1"
"UBA10323"
"RS_GCF_000218895.1"
"GB_GCA_002483185.1"
"GB_GCA_001724175.1"
"RS_GCF_000566685.1"
"GB_GCA_900108855.1"
"RS_GCF_000428845.1"
"RS_GCF_001424405.1"
"RS_GCF_000382205.1"
"RS_GCF_000023125.1"
"GB_GCA_001898145.1"
"GB_GCA_900101885.1"
"GB_GCA_900109045.1"
