"UBA11406"
"RS_GCF_000518785.1"
"GB_GCA_002307905.1"
"RS_GCF_000247475.1"
"RS_GCF_001296045.1"
"RS_GCF_001425145.1"
"GB_GCA_002377765.1"
"RS_GCF_000300855.1"
