RS_GCF_001703635.1
RS_GCF_000759435.1
RS_GCF_000325745.1
RS_GCF_000496595.1
RS_GCF_000968085.1
RS_GCF_001021085.1
RS_GCF_000346595.1
UBA8348
RS_GCF_001939045.1
RS_GCF_001939785.1
RS_GCF_001652485.1
GB_GCA_002454055.1
RS_GCF_000559065.1
RS_GCF_001281405.1
RS_GCF_000015445.1
RS_GCF_000709795.1
RS_GCF_000385435.1
RS_GCF_000278255.1
RS_GCF_000385395.1
RS_GCF_000384965.1
RS_GCF_000341355.1
RS_GCF_000706645.1
RS_GCF_000518185.1
RS_GCF_000278155.1
RS_GCF_000278195.1
RS_GCF_000294715.1
RS_GCF_000312545.1
RS_GCF_000706625.1
RS_GCF_001291465.1
RS_GCF_000280015.1
RS_GCF_000312565.1
RS_GCF_000278215.1
RS_GCF_000518085.1
RS_GCF_000278315.1
RS_GCF_000312585.1
RS_GCF_000689355.1
RS_GCF_000278335.1
RS_GCF_000341385.1
RS_GCF_000278115.1
RS_GCF_000278295.1
RS_GCF_000312525.1
RS_GCF_000273375.1
GB_GCA_001952065.1
RS_GCF_000278275.1
RS_GCF_001050155.1
RS_GCF_000300335.1
GB_GCA_001897005.1
RS_GCF_001463845.1
