"RS_GCF_000422785.1"
"RS_GCF_001561995.1"
"RS_GCF_001562055.1"
"RS_GCF_001623255.1"
"GB_GCA_900104145.1"
"RS_GCF_001623285.1"
"GB_GCA_001310715.1"
"RS_GCF_000236645.1"
"RS_GCF_001696535.1"
"GB_GCA_900105595.1"
"RS_GCF_000423705.1"
"RS_GCF_000192745.1"
"RS_GCF_001418225.1"
"RS_GCF_900142725.1"
"RS_GCF_000148725.1"
"RS_GCF_000158095.1"
"RS_GCF_001624695.1"
"RS_GCF_001932055.1"
"RS_GCF_001404055.1"
"RS_GCF_000521215.1"
"GB_GCA_900115225.1"
"GB_GCA_002306405.1"
"RS_GCF_000429865.1"
"RS_GCF_000423365.1"
"GB_GCA_900100665.1"
"RS_GCF_000230555.1"
"GB_GCA_002337365.1"
"GB_GCA_002375765.1"
"GB_GCA_002384965.1"
"RS_GCF_900119845.1"
"RS_GCF_001402915.1"
"GB_GCA_001899085.1"
"RS_GCF_001424865.1"
"GB_GCA_001899065.1"
"GB_GCA_001899075.1"
"RS_GCF_000969415.1"
"RS_GCF_000970435.1"
"RS_GCF_000735585.1"
"RS_GCF_000971295.1"
"RS_GCF_001426345.1"
"RS_GCF_001427605.1"
"GB_GCA_900110945.1"
"RS_GCF_000971275.1"
"GB_GCA_900116545.1"
"RS_GCF_000970455.1"
"RS_GCF_001421945.1"
"RS_GCF_001427875.1"
"RS_GCF_000743575.1"
"GB_GCA_001725405.1"
"RS_GCF_000969445.1"
"RS_GCF_001650025.1"
"RS_GCF_001185205.1"
"RS_GCF_000689495.1"
