RS_GCF_000153745.1
RS_GCF_001705665.1
RS_GCF_000185925.1
GB_GCA_001439135.1
RS_GCF_001458315.1
GB_GCA_900109555.1
RS_GCF_001308265.1
RS_GCF_900102315.1
RS_GCF_000819565.1
RS_GCF_001550085.1
RS_GCF_001550095.1
GB_GCA_900113955.1
RS_GCF_000812685.1
RS_GCF_000812665.2
RS_GCF_000169395.1
UBA7952
GB_GCA_002352425.1
RS_GCF_000442275.2
GB_GCA_900111945.1
RS_GCF_900129235.1
GB_GCA_900107015.1
UBA12235
RS_GCF_000738435.1
UBA8728
RS_GCF_000161835.1
RS_GCF_001404155.1
GB_GCA_001314655.1
UBA9298
RS_GCF_900142425.1
RS_GCF_000155675.2
RS_GCF_000155735.2
RS_GCF_900129845.1
GB_GCA_900109295.1
GB_GCA_002378665.1
RS_GCF_000152785.1
RS_GCF_000382265.1
GB_GCA_900115105.1
RS_GCF_000967725.1
GB_GCA_900114675.1
RS_GCF_000169435.1
RS_GCF_001411945.1
RS_GCF_001420005.1
GB_GCA_900114485.1
GB_GCA_900110065.1
RS_GCF_900128995.1
RS_GCF_000153305.1
GB_GCA_900102015.1
RS_GCF_000466965.1
RS_GCF_000365005.1
RS_GCF_900141735.1
RS_GCF_000836695.1
RS_GCF_001673765.1
UBA9554
RS_GCF_900095785.1
UBA9043
GB_GCA_002336405.1
UBA8355
RS_GCF_000472185.1
GB_GCA_001627595.1
GB_GCA_001627925.1
GB_GCA_002448605.1
GB_GCA_001510135.1
RS_GCF_001642945.1
UBA11319
GB_GCA_900107355.1
RS_GCF_001890925.1
RS_GCF_000156115.1
RS_GCF_000814025.1
RS_GCF_000154785.2
RS_GCF_000014045.1
RS_GCF_000622425.1
RS_GCF_000622405.1
GB_GCA_900103185.1
RS_GCF_000647675.1
RS_GCF_000156335.1
GB_GCA_900116285.1
RS_GCF_001650875.1
RS_GCF_001886735.1
RS_GCF_000622345.1
RS_GCF_001650795.1
RS_GCF_000622385.1
RS_GCF_000622365.1
GB_GCA_900102535.1
RS_GCF_000172095.1
GB_GCA_900113435.1
RS_GCF_001635605.1
GB_GCA_002376365.1
RS_GCF_001634775.1
GB_GCA_900112755.1
RS_GCF_001634785.1
GB_GCA_002478745.1
RS_GCF_000620505.1
RS_GCF_900129685.1
RS_GCF_001458235.1
RS_GCF_001458215.1
RS_GCF_900142085.1
GB_GCA_900114635.1
RS_GCF_001458175.1
RS_GCF_001292625.1
GB_GCA_900114415.1
GB_GCA_900102795.1
RS_GCF_900112515.1
RS_GCF_000014065.1
RS_GCF_000376545.2
GB_GCA_001874255.1
RS_GCF_001518015.1
RS_GCF_000473165.1
RS_GCF_000511355.1
GB_GCA_001730095.1
RS_GCF_000813745.1
RS_GCF_000813965.1
RS_GCF_000473325.1
RS_GCF_000473145.1
RS_GCF_001678945.1
RS_GCF_000169455.1
RS_GCF_001457775.1
RS_GCF_000473205.1
RS_GCF_000152965.1
GB_GCA_001874245.1
RS_GCF_000156255.1
RS_GCF_001888185.1
RS_GCF_000826835.1
GB_GCA_900109035.1
GB_GCA_900101475.1
RS_GCF_000011965.2
RS_GCF_001507595.1
RS_GCF_000161775.1
RS_GCF_000814005.1
RS_GCF_000158135.1
RS_GCF_000813985.1
RS_GCF_900106805.1
RS_GCF_000192475.1
RS_GCF_001238295.1
RS_GCF_001507545.1
RS_GCF_001458295.1
RS_GCF_000743705.1
RS_GCF_001458095.1
RS_GCF_001262635.1
UBA7951
RS_GCF_000429365.1
RS_GCF_000473225.1
RS_GCF_001038505.1
RS_GCF_900129875.1
RS_GCF_000442255.1
RS_GCF_000259095.1
GB_GCA_900112435.1
RS_GCF_000161755.1
RS_GCF_000153725.1
GB_GCA_900100085.1
RS_GCF_001687105.1
GB_GCA_900116195.1
GB_GCA_900107235.1
RS_GCF_001482405.1
RS_GCF_001458375.1
RS_GCF_000504185.2
RS_GCF_000169415.1
GB_GCA_002416045.1
RS_GCF_001717995.1
GB_GCA_900115815.1
RS_GCF_000521865.1
RS_GCF_000521785.1
RS_GCF_000520615.1
RS_GCF_001046955.1
RS_GCF_001205715.1
RS_GCF_000768315.1
GB_GCA_900112545.1
RS_GCF_000152725.1
RS_GCF_000220565.1
RS_GCF_000688295.1
GB_GCA_900116005.1
GB_GCA_900111875.1
GB_GCA_900110775.1
RS_GCF_001650895.1
GB_GCA_002366795.1
RS_GCF_001458355.1
RS_GCF_001458435.1
RS_GCF_001458255.1
RS_GCF_000423645.1
GB_GCA_900100005.1
RS_GCF_000526275.1
GB_GCA_900110425.1
GB_GCA_001314705.1
RS_GCF_000152625.1
GB_GCA_900109765.1
GB_GCA_002366775.1
GB_GCA_900115165.1
RS_GCF_900142625.1
GB_GCA_900109455.1
RS_GCF_000744325.1
RS_GCF_000152845.1
GB_GCA_000768555.2
RS_GCF_000170775.1
RS_GCF_900109855.1
GB_GCA_002428225.1
GB_GCA_002480425.1
GB_GCA_002421985.1
UBA9371
RS_GCF_000170875.1
RS_GCF_900142665.1
RS_GCF_001441615.1
RS_GCF_001650975.1
GB_GCA_001314685.1
