"RS_GCF_001189915.1"
"RS_GCF_000577615.1"
"RS_GCF_001189965.1"
"RS_GCF_000256565.1"
"RS_GCF_001267925.1"
"RS_GCF_000282575.1"
"RS_GCF_001189955.1"
"RS_GCF_000300975.2"
"RS_GCF_001591225.1"
