"focal_GC" "sister_GC" "delta_GC" "directionGC" "focal_metabolism" "sister_metabolism" "focal_isolation" "sister_isolation" "endoSymb_status"
"Rhizobiale_jump10" 52.62 62.24 -9.62 "-1" "obligate aerobic" "obligate aerobic" "host" "water" "0"
"Rhizobiale_jump11" 56.93 61.48 -4.55 "-1" "aerobic" "NA|aerobic|NA|NA|facultative|microaerophilic|NA|aerobic|aerobic|NA|NA|NA|NA|NA|NA|aerobic|anaerobic|NA|facultative|obligate aerobic|NA|NA|NA|obligate aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|facultative|obligate aerobic|aerobic|aerobic|NA|obligate aerobic|aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|aerobic|NA|NA|NA|NA|NA|facultative|NA|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|NA|aerobic|obligate aerobic|aerobic|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|aerobic|NA|obligate aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|NA" "water" "NA|water|NA|NA|NA|rock|NA|NA|NA|host|NA|NA|NA|NA|NA|host|NA|water|host|water|soil|NA|NA|host|host|host|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|host|host|host|host|NA|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|host|host|host|host|host|NA|NA|host|NA|NA|host|host|NA|NA|host|NA|NA|host|NA|NA|rock|NA|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|soil|host|host|host|host|NA|NA|NA|NA|NA|host|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|host|sludge|NA|NA|NA|host|host|NA|NA|NA|host|water|water|sediment|wastewater|NA|NA|water|NA|NA|NA|soil|NA|host|NA|NA|NA|host|NA|host|host|NA|host|host|soil|host|NA|host|NA|host|NA|NA|host|host|NA|host|NA|NA|NA|sludge|NA|NA|NA|NA|NA|NA|host|water|NA|NA|water|NA|NA|NA" "0"
"Rhizobiale_jump12" 61.25 66.74 -5.48999999999999 "-1" "aerobic" "aerobic" "water" "water" "0"
"Rhizobiale_jump13" 65.46 60 5.45999999999999 "1" "facultative|NA" "anaerobic|NA" "NA|NA" "NA|water" "0"
"Rhizobiale_jump14" 35.32 60.71 -25.39 "-1" "aerobic|NA|NA|NA|NA" "NA|NA|obligate aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|facultative|obligate aerobic|aerobic|aerobic|NA|obligate aerobic|aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA" "host|host|host|host|host" "NA|NA|host|host|host|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|host|host|host|host|NA|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|host|host|host|host|host|NA|NA|host|NA|NA|host|host|NA|NA|host|NA|NA|host|NA|NA|rock|NA|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|soil|host|host|host|host|NA|NA|NA|NA|NA|host|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|host|sludge|NA" "1"
"Rhizobiale_jump15" 55.03 58.42 -3.39 "-1" "NA|NA" "NA|aerobic" "NA|NA" "host|host" "0"
"Rhizobiale_jump16" 49.11 60.75 -11.64 "-1" "NA|aerobic" "NA|aerobic|anaerobic|NA|facultative|obligate aerobic|NA|NA|NA|obligate aerobic|aerobic|aerobic|aerobic|aerobic|aerobic|NA|aerobic|NA|NA|NA|NA|NA|NA|facultative|obligate aerobic|aerobic|aerobic|NA|obligate aerobic|aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|aerobic|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA" "NA|water" "NA|host|NA|water|host|water|soil|NA|NA|host|host|host|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|host|host|host|host|NA|host|host|host|NA|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|host|host|host|host|host|NA|NA|host|NA|NA|host|host|NA|NA|host|NA|NA|host|NA|NA|rock|NA|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|NA|NA|soil|host|host|host|host|NA|NA|NA|NA|NA|host|host|host|host|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|host|NA|host|sludge|NA" "0"
"Rhizobiale_jump17" 52.08 57.47 -5.39 "-1" NA "NA|NA|aerobic|aerobic" NA "NA|NA|host|host" "0"
"Rhizobiale_jump18" 53.72 56.91 -3.19 "-1" "NA|NA|obligate aerobic" "aerobic|aerobic" "NA|NA|host" "host|host" "0"
"Rhizobiale_jump19" 38.21 57.47 -19.26 "-1" "NA|aerobic|aerobic|microaerophilic|NA|microaerophilic|microaerophilic|aerobic|obligate aerobic|NA|microaerophilic|NA|aerobic|microaerophilic|aerobic|microaerophilic|aerobic|microaerophilic|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|microaerophilic|aerobic|NA|microaerophilic" "NA|NA|aerobic|aerobic|NA|NA|NA|NA" "host|host|host|host|host|host|host|host|host|host|host|NA|host|host|host|NA|host|host|host|host|host|host|host|host|host|host|NA|host|NA|NA" "NA|NA|host|host|NA|NA|NA|host" "1"
"Rhizobiale_jump20" 41.84 35.67 6.17 "1" NA "aerobic|obligate aerobic" "host" "host|host" "0"
"Rhizobiale_jump21" 64.81 61.35 3.46 "1" "NA|NA" "facultative" "NA|NA" "water" "0"
"Rhizobiale_jump22" 68.8 64.61 4.19 "1" NA NA NA NA "0"
"Rhizobiale_jump23" 63 67.47 -4.47 "-1" "aerobic" "obligate aerobic|NA" "host" "bioreactor/digester|NA" "0"
"Rhodobacterale_jump1" 57.19 64.51 -7.32000000000001 "-1" NA NA NA NA "0"
"Rhodobacterale_jump2" 50.43 63.24 -12.81 "-1" "aerobic|obligate aerobic" "NA|NA|NA|NA|aerobic|NA|NA|NA|facultative|NA" "water|water" "water|NA|NA|NA|water|NA|NA|NA|water|NA" "0"
"Rhodobacterale_jump3" 55.68 63.39 -7.71 "-1" "obligate aerobic" "NA|NA|NA|aerobic|NA" "sediment" "NA|NA|NA|water|NA" "0"
"Rhodobacterale_jump4" 59.79 67.41 -7.62 "-1" "NA|aerobic|NA|NA|NA|aerobic|NA|aerobic|NA" "facultative|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|facultative|facultative|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic" "NA|water|NA|water|NA|soil|NA|water|NA" "wastewater|sediment|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|soil|soil|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|water|NA|water" "0"
"Rhodobacterale_jump5" 44.91 55.86 -10.95 "-1" "aerobic|obligate aerobic" NA "water|water" NA "0"
"Rhodobacterale_jump6" 41.44 56.12 -14.68 "-1" "NA|NA" NA "NA|NA" NA "0"
"Rhodobacterale_jump7" 51.06 65.29 -14.23 "-1" NA "aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|facultative|facultative|NA|NA|facultative|NA|obligate aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|obligate aerobic|microaerophilic|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|facultative|facultative|NA|microaerophilic|NA|facultative|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|obligate aerobic|NA|obligate aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA" NA "wastewater|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|petroleum|NA|NA|NA|bioreactor/digester|bioreactor/digester|NA|NA|soil|NA|water|NA|NA|water|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|soil|sediment|host|soil|soil|NA|NA|rock|NA|soil|wastewater|host|NA|NA|NA|soil|sludge|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|sediment|host|water|NA|host|host|NA|NA|NA|soil|soil|biofilm|host|NA|NA|water|NA|soil|NA|water|water|NA|water|NA|NA|water|NA|NA|NA|water|NA|NA|NA|water|NA|NA|NA|NA|sediment|sediment|NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|water|NA|NA" "0"
"Rhodobacterale_jump8" 53.82 65.15 -11.33 "-1" "NA|NA|NA|NA|NA|NA|NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|facultative|facultative|NA|NA|facultative|NA|obligate aerobic|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|obligate aerobic|microaerophilic|aerobic|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|obligate aerobic|aerobic|NA|NA|aerobic|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|obligate aerobic|obligate aerobic|aerobic|NA|facultative|facultative|NA|microaerophilic|NA|facultative|aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|obligate aerobic|NA|obligate aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA|NA|NA" "NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|petroleum|NA|NA|NA|bioreactor/digester|bioreactor/digester|NA|NA|soil|NA|water|NA|NA|water|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|soil|sediment|host|soil|soil|NA|NA|rock|NA|soil|wastewater|host|NA|NA|NA|soil|sludge|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|sediment|host|water|NA|host|host|NA|NA|NA|soil|soil|biofilm|host|NA|NA|water|NA|soil|NA|water|water|NA|water|NA|NA|water|NA|NA|NA|water|NA|NA|NA|water|NA|NA|NA|NA|sediment|sediment|NA|NA|water|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA" "0"
"Rhodobacterale_jump9" 36.89 48.2 -11.31 "-1" NA NA "water" NA "0"
"Rhodobacterale_jump10" 57.23 63.84 -6.61000000000001 "-1" NA "NA|obligate aerobic|NA|aerobic|obligate aerobic" "water" "NA|water|NA|NA|water" "0"
"Rhodobacterale_jump11" 62.89 67.08 -4.19 "-1" NA "NA|NA|aerobic|NA|aerobic|aerobic" "sludge" "NA|NA|rock|NA|soil|wastewater" "0"
"Rhodobacterale_jump12" 50.47 58.61 -8.14 "-1" NA "obligate aerobic|obligate aerobic|obligate aerobic|aerobic" NA "water|sediment|host|water" "0"
"Rhodobacterale_jump13" 58.64 65.29 -6.65000000000001 "-1" "aerobic" "obligate aerobic|obligate aerobic|NA|obligate aerobic|NA|NA|obligate aerobic" "water" "water|water|NA|water|NA|NA|water" "0"
"Rhodobacterale_jump14" 58.37 63.51 -5.14 "-1" "NA|aerobic|anaerobic|obligate aerobic|aerobic|NA|NA|aerobic|NA|NA|NA|obligate aerobic|NA|aerobic|NA|obligate aerobic|NA|aerobic|NA|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|facultative|NA|aerobic|NA|NA|obligate aerobic|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|aerobic|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|NA|NA|obligate aerobic|NA|aerobic|facultative|NA|obligate aerobic|aerobic|NA|obligate aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic" "NA|NA|NA|obligate aerobic|NA|NA|NA|obligate aerobic|NA|NA|NA" "NA|water|sediment|water|NA|NA|NA|sediment|water|NA|NA|sediment|NA|NA|NA|water|water|water|NA|water|water|water|NA|NA|NA|water|water|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|water|water|NA|host|host|water|water|NA|NA|water|NA|NA|host|water|NA|NA|NA|NA|water|NA|water|NA|NA|NA|water|NA|water|NA|NA|NA|NA|biofilm|NA|NA|water|host|biofilm|NA|NA|biofilm|water|NA|NA|NA|sediment|sediment|host|water|NA|sediment|water|NA|host|NA|NA|NA|NA|water|NA|water|NA|petroleum|sediment" "NA|NA|NA|water|NA|NA|NA|water|NA|NA|NA" "0"
"Rhodobacterale_jump15" 65.74 61.32 4.41999999999999 "1" NA "obligate aerobic|aerobic|NA" "sediment" "water|NA|NA" "0"
"Rhodobacterale_jump16" 44.27 53.64 -9.37 "-1" NA "obligate aerobic" NA "water" "0"
"Rhodobacterale_jump17" 48.15 53.64 -5.49 "-1" NA "obligate aerobic" NA "water" "0"
"Rhodobacterale_jump18" 67.62 54.92 12.7 "1" NA "NA|aerobic|aerobic|NA" NA "NA|water|water|water" "0"
"Rhodobacterale_jump19" 70.34 57.04 13.3 "1" "aerobic|NA|obligate aerobic|aerobic|aerobic|obligate aerobic" "NA|aerobic|aerobic|NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|facultative|NA|aerobic|NA|NA|obligate aerobic" "water|NA|sediment|water|NA|petroleum" "NA|water|water|water|NA|NA|NA|water|water|NA|NA|NA|NA|NA|NA|NA|NA|water" "0"
"Rhodobacterale_jump20" 40.32 50.12 -9.8 "-1" "NA|NA|NA" "NA|aerobic" "NA|NA|NA" "NA|water" "0"
"Rhodobacterale_jump21" 51.56 61.72 -10.16 "-1" NA NA NA NA "0"
"Rhodobacterale_jump22" 52.8 60.06 -7.26000000000001 "-1" NA "obligate aerobic|aerobic|aerobic|NA|NA" NA "water|host|biofilm|NA|NA" "0"
"Rhodobacterale_jump23" 56.76 62.97 -6.21 "-1" "NA|NA|NA|facultative|obligate aerobic|aerobic|NA|NA|facultative|aerobic" "aerobic" "NA|host|NA|host|host|NA|NA|NA|host|water" "water" "0"
"Rhodobacterale_jump24" 67.6 61.13 6.46999999999999 "1" NA NA NA NA "0"
"Rhodobacterale_jump25" 64.06 60.03 4.03 "1" "NA|obligate aerobic|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|obligate aerobic|aerobic|aerobic|NA|NA|NA|obligate aerobic|aerobic|aerobic|aerobic|NA|NA|NA|aerobic|NA|aerobic|NA|NA|NA|NA|NA|aerobic|aerobic|aerobic|obligate aerobic|NA|NA|NA|NA|aerobic|NA|NA|aerobic|NA|NA|aerobic|NA|aerobic|aerobic|NA|NA|NA|NA|facultative|obligate aerobic|NA|NA" "NA|aerobic|NA|NA|aerobic|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|aerobic|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|obligate aerobic|NA|NA|aerobic|NA|obligate aerobic|NA|NA|obligate aerobic|aerobic|aerobic|NA|NA|obligate aerobic|NA|NA|NA|NA|obligate aerobic|NA|aerobic|facultative|NA|obligate aerobic|aerobic|NA|obligate aerobic|NA|NA|NA|NA|aerobic|NA|aerobic|NA|NA|obligate aerobic" "NA|water|soil|NA|NA|NA|water|NA|sediment|NA|NA|NA|water|NA|water|NA|NA|NA|host|NA|NA|host|NA|NA|NA|water|water|sediment|NA|NA|NA|NA|NA|sediment|water|water|rock|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|water|NA|host|water|NA|NA|NA|NA|sediment|sediment|NA|NA" "NA|water|water|NA|host|host|water|water|NA|NA|water|NA|NA|host|water|NA|NA|NA|NA|water|NA|water|NA|NA|NA|water|NA|water|NA|NA|NA|NA|biofilm|NA|NA|water|host|biofilm|NA|NA|biofilm|water|NA|NA|NA|sediment|sediment|host|water|NA|sediment|water|NA|host|NA|NA|NA|NA|water|NA|water|NA|petroleum|sediment" "0"
