jumpBranch depth nTaxa_focal nTaxa_sis nTaxa_out1 nTaxa_out2
jump1 2 outgroup1 253 4 3 NA
jump2 19 outgroup1 2 13 226 NA
jump3 52 outgroup1 1 1 1 156
jump4 105 outgroup2 1 3 1 4
jump5 165 outgroup2 1 2 2 5
jump6 227 outgroup2 1 1 2 1
jump7 231 outgroup2 1 1 2 1
jump8 260 outgroup2 1 1 4 13
jump9 263 outgroup2 1 3 2 13
jump10 268 outgroup2 1 1 1 1
jump11 518 outgroup1 1 1 1 257
