row.names jumpBranch depth nTaxa_focal nTaxa_sis nTaxa_out1 nTaxa_out2
Flavobacteriale_jump24 jump24 192 outgroup1 2 8 2 107
Flavobacteriale_jump25 jump25 212 outgroup1 1 96 10 NA
Flavobacteriale_jump26 jump26 216 outgroup1 1 90 2 NA
Flavobacteriale_jump27 jump27 219 outgroup1 1 1 88 NA
Flavobacteriale_jump28 jump28 232 outgroup2 1 2 2 8
Flavobacteriale_jump29 jump29 238 outgroup2 2 4 2 5
Flavobacteriale_jump30 jump30 258 outgroup1 1 11 55 NA
Flavobacteriale_jump31 jump31 276 outgroup2 1 2 7 1
Flavobacteriale_jump32 jump32 320 outgroup2 2 2 12 1
Flavobacteriale_jump33 jump33 393 outgroup1 2 2 84 NA
Flavobacteriale_jump34 jump34 397 outgroup1 1 1 91 NA
Flavobacteriale_jump35 jump35 444 outgroup1 1 6 9 337
Flavobacteriale_jump36 jump36 460 outgroup1 2 40 3 NA
Flavobacteriale_jump37 jump37 462 outgroup1 1 1 40 NA
Flavobacteriale_jump38 jump38 467 outgroup1 1 1 11 27
Flavobacteriale_jump39 jump39 469 outgroup1 1 10 2 27
Flavobacteriale_jump40 jump40 473 outgroup2 1 1 8 1
Flavobacteriale_jump41 jump41 479 outgroup2 1 5 2 2
Flavobacteriale_jump42 jump42 497 outgroup2 1 4 8 2
Flavobacteriale_jump43 jump43 503 outgroup2 1 1 2 1
Flavobacteriale_jump44 jump44 509 outgroup2 6 1 1 5
Flavobacteriale_jump45 jump45 541 outgroup1 1 1 25 NA
Flavobacteriale_jump46 jump46 546 outgroup1 1 1 1 42
Flavobacteriale_jump47 jump47 550 outgroup1 1 3 2 127
Flavobacteriale_jump48 jump48 575 outgroup2 1 5 3 4
Flavobacteriale_jump49 jump49 609 outgroup1 1 73 29 NA
Flavobacteriale_jump50 jump50 628 outgroup2 1 1 1 15
Flavobacteriale_jump51 jump51 669 outgroup1 1 1 1 21
Flavobacteriale_jump52 jump52 729 outgroup1 3 4 58 NA
Flavobacteriale_jump53 jump53 732 outgroup2 1 1 1 4
Flavobacteriale_jump54 jump54 789 outgroup1 12 17 74 NA
Flavobacteriale_jump55 jump55 803 outgroup2 1 3 2 1
Flavobacteriale_jump56 jump56 811 outgroup2 1 1 4 1
Flavobacteriale_jump57 jump57 841 outgroup2 2 1 10 5
Flavobacteriale_jump58 jump58 854 outgroup2 1 2 18 6
Flavobacteriale_jump59 jump59 880 outgroup2 1 6 2 2
Flavobacteriale_jump60 jump60 896 outgroup2 3 19 9 1
Flavobacteriale_jump61 jump61 915 outgroup2 1 4 8 6
Flavobacteriale_jump62 jump62 928 outgroup2 1 5 2 5
Flavobacteriale_jump63 jump63 943 outgroup2 1 1 1 6
Flavobacteriale_jump64 jump64 959 outgroup2 3 3 1 12
Flavobacteriale_jump65 jump65 1046 outgroup1 2 19 2 39
