"GB_GCA_002344885.1"
"UBA12311"
"RS_GCF_001777155.1"
"RS_GCF_000723405.1"
"RS_GCF_001571145.1"
"RS_GCF_001640105.1"
"RS_GCF_001592305.1"
"UBA12167"
"RS_GCF_001571225.1"
"RS_GCF_001713375.1"
"RS_GCF_001428625.1"
"RS_GCF_001675355.1"
"RS_GCF_001481285.1"
"GB_GCA_001770995.1"
"GB_GCA_002291945.1"
"RS_GCF_000828915.1"
"RS_GCF_000828895.1"
"RS_GCF_000696225.1"
