GB_GCA_002428895.1
GB_GCA_002470265.1
RS_GCF_000441555.1
GB_GCA_002482715.1
GB_GCA_002325825.1
GB_GCA_002292975.1
GB_GCA_002342245.1
GB_GCA_002299505.1
RS_GCF_001595985.1
RS_GCF_000973625.1
RS_GCF_000342265.1
GB_GCA_000428385.1
RS_GCF_000016345.1
RS_GCF_001870385.1
RS_GCF_001659725.1
RS_GCF_001889925.1
UBA8364
RS_GCF_000019745.1
RS_GCF_001595965.1
RS_GCF_000496475.1
GB_GCA_002430065.1
GB_GCA_001269365.1
RS_GCF_001412575.1
RS_GCF_000482785.1
RS_GCF_000340925.1
RS_GCF_000340865.1
RS_GCF_000340905.1
RS_GCF_000340795.1
RS_GCF_000319225.1
GB_GCA_002337405.1
GB_GCA_002388415.1
GB_GCA_002422175.1
GB_GCA_002292845.1
UBA11404
RS_GCF_000969645.2
RS_GCF_000620145.1
UBA11063
RS_GCF_000420525.1
RS_GCF_000382305.1
RS_GCF_001457815.1
RS_GCF_000745895.1
RS_GCF_001590725.1
RS_GCF_000600005.1
GB_GCA_900094895.1
RS_GCF_000428785.1
RS_GCF_000620925.1
RS_GCF_000160435.1
RS_GCF_000190695.1
RS_GCF_000751855.1
RS_GCF_000213535.1
RS_GCF_000163775.2
RS_GCF_000745955.1
RS_GCF_000226875.1
RS_GCF_001648355.1
RS_GCF_001648475.1
RS_GCF_000158615.1
RS_GCF_001648505.1
RS_GCF_001648495.1
RS_GCF_000818035.1
RS_GCF_000318235.2
RS_GCF_001067635.1
RS_GCF_001592185.1
RS_GCF_000090875.1
RS_GCF_001809325.1
RS_GCF_001815615.1
RS_GCF_000173895.1
RS_GCF_000741965.1
RS_GCF_000193775.1
RS_GCF_000008805.1
RS_GCF_000006845.1
RS_GCF_001027865.1
RS_GCF_000227765.1
RS_GCF_001308005.1
RS_GCF_900086555.1
RS_GCF_000981505.1
UBA11233
RS_GCF_000156155.1
UBA9060
RS_GCF_000168995.1
GB_GCA_002365435.1
GB_GCA_002384685.1
RS_GCF_000799735.1
GB_GCA_002450925.1
GB_GCA_002367635.1
UBA10337
GB_GCA_002448775.1
RS_GCF_900119085.1
