"RS_GCF_001045685.1"
"GB_GCA_900103845.1"
"RS_GCF_000349845.1"
"RS_GCF_000955805.1"
"GB_GCA_900099785.1"
"RS_GCF_000689415.1"
"RS_GCF_001654435.1"
