"RS_GCF_000022605.2"
"RS_GCF_000262715.1"
"RS_GCF_000348805.1"
"RS_GCF_000471965.1"
"RS_GCF_000334405.1"
"RS_GCF_000093165.1"
"RS_GCF_000236405.1"
"RS_GCF_000233435.1"
