"GB_GCA_001914345.1"
"GB_GCA_900100495.1"
"RS_GCF_000222125.1"
"RS_GCF_001749735.1"
"RS_GCF_000498575.2"
"GB_GCA_900115555.1"
"GB_GCA_002354655.1"
"RS_GCF_001728865.1"
"GB_GCA_900113745.1"
"GB_GCA_001465025.1"
"GB_GCA_900105355.1"
"GB_GCA_001828745.1"
