"RS_GCF_000429565.1"
"RS_GCF_001640365.1"
"RS_GCF_001020485.1"
"RS_GCF_000314895.2"
"RS_GCF_000314855.2"
"RS_GCF_001853385.1"
"RS_GCF_000754345.1"
"RS_GCF_000156395.1"
"RS_GCF_000527275.1"
"RS_GCF_000805715.1"
"RS_GCF_000314835.2"
"UBA10704"
"RS_GCF_900061445.1"
