"RS_GCF_000153165.2"
"GB_GCA_900103215.1"
"GB_GCA_900101815.1"
"RS_GCF_000744555.1"
"RS_GCF_000973105.1"
"RS_GCF_900141855.1"
"GB_GCA_002320855.1"
"RS_GCF_001020565.1"
"RS_GCF_000621125.1"
"GB_GCA_002362375.1"
"RS_GCF_000688315.1"
"RS_GCF_900142175.1"
"RS_GCF_000744105.1"
"GB_GCA_900109345.1"
"RS_GCF_001673755.1"
"RS_GCF_001430825.1"
"RS_GCF_000799565.1"
"RS_GCF_000186265.1"
"RS_GCF_000468615.2"
"RS_GCF_900119145.1"
"RS_GCF_000750195.1"
"RS_GCF_900141935.1"
"RS_GCF_000733925.1"
"RS_GCF_000429545.1"
"RS_GCF_000424985.1"
