"GB_GCA_002422945.1"
"GB_GCA_002478575.1"
"GB_GCA_002336985.1"
"RS_GCF_000763945.1"
"RS_GCF_001591045.1"
"RS_GCF_001278035.1"
"RS_GCF_001598815.1"
"RS_GCF_000013985.1"
"RS_GCF_001468265.1"
"RS_GCF_001468395.1"
"RS_GCF_001314325.1"
"GB_GCA_900108295.1"
"RS_GCF_001047015.1"
"RS_GCF_000803645.1"
"RS_GCF_000756375.1"
"RS_GCF_001467385.1"
"GB_GCA_001830555.1"
"GB_GCA_002454115.1"
"RS_GCF_001468465.1"
"RS_GCF_000756385.1"
"RS_GCF_001468285.1"
"RS_GCF_001427085.1"
"RS_GCF_900128895.1"
"RS_GCF_001650955.1"
"GB_GCA_002354635.1"
"RS_GCF_001586275.1"
"RS_GCF_000420305.1"
"RS_GCF_001889025.1"
"GB_GCA_001464315.1"
"GB_GCA_002299895.1"
"GB_GCA_002299195.1"
"GB_GCA_001829075.1"
"RS_GCF_001295965.1"
"RS_GCF_000786215.1"
"RS_GCF_000331245.1"
"RS_GCF_001476695.1"
"GB_GCA_900113255.1"
"RS_GCF_001590985.1"
"RS_GCF_000802225.1"
"RS_GCF_000813185.1"
"RS_GCF_000253255.1"
"RS_GCF_001298105.1"
"RS_GCF_000445125.1"
"RS_GCF_000272475.1"
"RS_GCF_000632105.1"
"RS_GCF_001421325.1"
"RS_GCF_000281975.1"
"RS_GCF_000876675.1"
"RS_GCF_001590965.1"
"RS_GCF_001295765.1"
"RS_GCF_000375445.1"
"RS_GCF_001519055.1"
"RS_GCF_001519065.1"
"RS_GCF_000429005.1"
"GB_GCA_001725355.1"
"GB_GCA_002336885.1"
"RS_GCF_001295795.1"
"RS_GCF_000013325.1"
"RS_GCF_001598575.1"
"RS_GCF_001519075.1"
"RS_GCF_001296055.1"
"GB_GCA_002440635.1"
"GB_GCA_002454125.1"
"RS_GCF_001598555.1"
"GB_GCA_002336765.1"
"GB_GCA_001898925.1"
"RS_GCF_001028705.1"
"RS_GCF_001634625.1"
"RS_GCF_001661915.1"
"RS_GCF_001661965.1"
"RS_GCF_001661675.1"
"RS_GCF_001461885.1"
"RS_GCF_000013005.1"
"RS_GCF_001304795.1"
"GB_GCA_002377695.1"
"RS_GCF_001235865.1"
"RS_GCF_001635465.1"
"RS_GCF_001542855.1"
"GB_GCA_002364455.1"
"GB_GCA_900115585.1"
"GB_GCA_002360035.1"
"RS_GCF_000756795.1"
"RS_GCF_000181515.1"
"RS_GCF_001635685.1"
"RS_GCF_001678665.1"
"RS_GCF_001281485.1"
"UBA9348"
"GB_GCA_001516125.1"
"GB_GCA_001515985.1"
"RS_GCF_001663155.1"
"GB_GCA_001724215.1"
"RS_GCF_001677335.1"
"RS_GCF_900143235.1"
"RS_GCF_000744895.1"
"RS_GCF_000422985.1"
"RS_GCF_001720465.1"
"RS_GCF_001663175.1"
"RS_GCF_000331285.1"
"RS_GCF_001557325.1"
"RS_GCF_001556425.1"
"RS_GCF_001556995.1"
